TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_ALLIANCE_WAR_LOOT_CONFIRMATION_TITLE,Collect war loot?,Obtenir le butin de guerre ?,Kriegsbeute einsammeln?,Recoger botín de guerra,Prendere bottino di guerra?,Oorlogsbuit ophalen?,Samle krigsbytte?,Coletar saque de guerra?,Savaş ganimeti toplansın mı?,クラン対戦の戦利品を回収しますか？,收集战利品？,전리품을 획득할까요?,Забрать военную добычу?
TID_ALLIANCE_WAR_LOOT_DELIVERED,War loot has been delivered to your clan castle!,Butin de guerre déposé dans votre château de clan !,Kriegsbeute wurde an deine Clanburg geliefert!,Se ha llevado el botín de guerra hasta tu castillo del clan.,Il bottino di guerra è stato consegnato al castello del tuo clan!,Er is oorlogsbuit afgeleverd bij je clankasteel!,Krigsbyttet har blitt levert til klanslottet ditt!,O saque de guerra foi entregue ao seu castelo do clã!,Savaş ganimeti klan kalene teslim edildi!,クランの城に戦利品が届きました！,战利品已经运送到您的部落城堡！,클랜 성에 전리품이 전달되었습니다!,Военная добыча доставлена в Крепости Клана!
TID_ALLIANCE_WAR_LOOT_NOT_EXIST,You have no war loot stored in your clan castle!,Aucun butin de guerre stocké dans votre château de clan !,Du hast keine Kriegsbeute in deiner Clanburg gelagert!,No tienes ningún botín de guerra almacenado en tu castillo del clan.,Non hai alcun bottino nel castello del tuo clan!,Je hebt geen oorlogsbuit opgeslagen in je clankasteel.,Det er ikke noe krigsbytte lagret i klanslottet ditt!,Você não tem saque de guerra armazenado no seu castelo do clã!,Klan kalende depolanan hiç savaş ganimeti yok!,クランの城にクラン対戦の戦利品がありません。,您的部落城堡中没有战利品！,클랜 성에 보관된 전리품이 없습니다!,В Крепости Клана нет добычи!
TID_ALLIANCE_WAR_LOOT_TRANSFERRED,War loot has been transferred to your storages!,Butin de guerre transféré dans vos réserves !,Kriegsbeute wurde in deine Lager transferiert!,Se ha llevado el botín de guerra a tus almacenes.,Bottino di guerra trasferito nel tuo magazzino.,De oorlogsbuit is overgezet naar je opslagruimten.,Krigsbyttet er flyttet til lagrene dine!,O saque de guerra foi transferido para o seu armazém!,"Savaş ganimeti, depolarına aktarıldı!",各貯蔵施設に戦利品が届きました！,战利品已经转移到您的仓库！,전리품이 저장소로 옮겨졌습니다!,Военная добыча перенесена в хранилища!
TID_ALLIANCE_WAR_MEMBER_STAT_DEFENCES,Defenses Won: <number>/<number_total>,Défenses réussies : <number>/<number_total>,Gewonnene Verteidigungen: <number>/<number_total>,Defensas ganadas: <number>/<number_total>,Difese vinte: <number>/<number_total>,Gewonnen verdedigingen: <number>/<number_total>,Forsvar vunnet: <number>/<number_total>,Defesas vencidas: <number> / <number_total>,Kazanılan Savunmalar: <number>/<number_total>,防衛成功回数：<number>/<number_total>,成功防御：<number>/<number_total>,방어 성공: <number>/<number_total>,Осад выиграно: <number>/<number_total>
TID_ALLIANCE_WAR_MOST_EXPENSIVE_ATTACK,Most expensive victory,Victoire la plus coûteuse,Teuerster Sieg,Victoria más cara,Vittoria più costosa,Kostbaarste overwinning,Dyreste seier,Vitória mais cara,En pahalı zafer,最も資源を使った攻撃,代价最昂贵的胜利,최고 비용 승리,Самая дорогая победа
TID_ALLIANCE_WAR_MOST_HEROIC_DEFENCE,Most heroic defense,Défense la plus héroïque,Heroischste Verteidigung,Defensa más heroica,Difesa più eroica,Meest heroïsche verdediging,Mest heroiske forsvar,Defesa mais heroica,En kahramanca savunma,最も劇的な防衛,最顽强的防御,가장 영웅적인 방어,Самая героическая оборона
TID_ALLIANCE_WAR_MOST_HEROIC_VICTORY,Most heroic attack,Attaque la plus héroïque,Heroischster Angriff,Ataque más heroico,Attacco più eroico,Meest heroïsche aanval,Mest heroiske angrep,Ataque mais heroico,En kahramanca saldırı,最も勇敢な攻撃,最英勇的进攻,가장 영웅적인 공격,Самая героическая атака
TID_ALLIANCE_WAR_MY_ATTACKS,My attacks:,Mes attaques :,Meine Angriffe:,Mis ataques:,I miei attacchi:,Mijn aanvallen:,Mine angrep:,Meus ataques:,Saldırılarım:,自分：,我的进攻次数：,내 공격:,Мои атаки:
TID_ALLIANCE_WAR_NEW_WAR,New war,Nouvelle guerre,Neuer Krieg,Nueva guerra,Nuova guerra,Nieuwe oorlog,Ny krig,Nova guerra,Yeni savaş,新たなクラン対戦,新战争,새 전쟁,Новая война
TID_ALLIANCE_WAR_NOT_IN_CLAN,You need to join a clan before participating in Clan Wars!,Vous devez rejoindre un clan pour participer aux guerres de clans !,"Du musst erst einem Clan beitreten, bevor du an Clankriegen teilnehmen kannst!",Para poder participar en las guerras del clan tienes que unirte a un clan.,"Prima di partecipare alle guerre tra clan, devi entrare a far parte di un clan!",Je moet je aansluiten bij een clan voordat je kunt meedoen aan clanoorlogen.,Du må bli med i en klan før du kan delta i klankriger!,É preciso entrar em um Clã antes de participar das guerras de clãs!,Klan Savaşlarında yer almak için önce bir Klana katılman gerekiyor!,クラン対戦に参戦するには、まずクランに参加してください！,您要先加入部落才能参加部落对战！,클랜전에 참가하기 전에 먼저 클랜에 가입해야 합니다!,Прежде чем участвовать в Войне Кланов нужно вступить в клан!
TID_ALLIANCE_WAR_NOT_PREPARED_FOR_WAR,Preparing for war...,En préparation pour la guerre...,Für den Krieg vorbereiten ...,Preparándose para la guerra...,Preparazione per la guerra...,Voorbereiden op oorlog...,Forbereder krig ...,Preparando para a guerra...,Savaşa hazırlanılıyor...,クラン対戦の準備中...,正在准备部落对战...,전쟁 준비 중...,Подготовка к войне...
TID_ALLIANCE_WAR_NO_BEST_ATTACK,Not attacked,Aucune attaque,Nicht angegriffen,No atacado,Non attaccato,Niet aangevallen,Ikke angrepet,Não houve ataque,Saldırıya uğramadı,攻撃していません,未遭受攻击,공격하지 않음,Не атаковали
TID_ALLIANCE_WAR_NO_HEROIC_VICTORY,None,Aucune,Keine,No hay,Nessuno,Geen,Ingen,Nenhuma,Yok,なし,无,없음,Нет
TID_ALLIANCE_WAR_NUM_DEFENCES,Defended: <number>,Défenses : <number>,Verteidigt: <number>,Defendidos: <number>,Difese: <number>,Verdedigd: <number>,Forsvart: <number>,Defendido: <number>,Savunuldu: <number>,防衛回数：<number>,防守成功次数：<number>,방어: <number>,Отбито: <number>
TID_ALLIANCE_WAR_PERSONAL_ATTACK_1,Attack 1,Attaq. 1,Angriff 1,Ataque 1,Attacco 1,Aanval 1,Angrep 1,Ataque 1,Saldırı 1,攻撃 1,第一次进攻,공격 1,Атака 1
TID_ALLIANCE_WAR_PERSONAL_ATTACK_2,Attack 2,Attaq. 2,Angriff 2,Ataque 2,Attacco 2,Aanval 2,Angrep 2,Ataque 2,Saldırı 2,攻撃 2,第二次进攻,공격 2,Атака 2
TID_ALLIANCE_WAR_PERSONAL_LOOT_RESULT,War bonus awarded:,Bonus de guerre obtenu :,Erhaltener Kriegsbonus:,Bonus de guerra ganado:,Bonus di guerra assegnato,Toegekende oorlogsbonus:,Krigsbonus tildelt:,O bônus de guerra foi concedido:,Alınan savaş bonusu:,授与されたクラン対戦ボーナス：,战利品：,획득한 전쟁 보너스:,Военный бонус:
TID_ALLIANCE_WAR_PLAYER_ON_WAR_COOLDOWN,Eligible for next war in,Prochaine guerre disponible dans,Für den nächsten Krieg zugelassen in,Podrás luchar en la siguiente guerra en,Puoi partecipare alla guerra successiva tra,Deelnemen aan volgende oorlog over,Kvalifisert til neste krig om,Elegível para a próxima guerra em,Sıradaki savaşa katılma hakkına kalan,次のクラン対戦参加可能まで,可参与下场战争,다음 전쟁까지 남은 시간:,Начать новую войну можно через
TID_ALLIANCE_WAR_PREPARATION_TIME_TITLE,Preparation Day,Jour de préparation,Vorbereitungstag,Día de preparación,Giorno dei preparativi,Voorbereidingsdag,Forberedelsesdag,Dia de preparação,Hazırlık Günü,準備日,准备日,준비일,День подготовки
TID_ALLIANCE_WAR_PREPARED_FOR_WAR,Ready for war!,Prêt pour la guerre !,Bereit für den Krieg!,¡Listo para la guerra!,Pronti per la guerra!,Klaar voor de strijd!,Klar for krig!,Pronto para a guerra!,Savaşa hazır!,戦闘準備完了！,准备完成！,전쟁 준비 완료!,К войне готовы!
TID_ALLIANCE_WAR_PREPARED_HEADER_ENEMY,Enemies ready for war:,Ennemis prêts :,Kriegsbereite Feinde:,Enemigos listos para la guerra:,Nemici pronti per la guerra:,Vijanden die klaar zijn om oorlog te voeren:,Fiender som er klare til krig:,Inimigos prontos para a guerra:,Savaşa hazır olan klan düşmanlar:,戦闘態勢に入った敵のクランメンバー：,已就位敌方村庄:,전쟁 준비를 완료한 적:,Готовые к войне враги:
TID_ALLIANCE_WAR_PREPARED_HEADER_FRIENDLY,Clanmates ready for war:,Membres du clan prêts :,Kriegsbereite Clankameraden:,Compañeros listos para la guerra:,Compagni di clan pronti per la guerra:,Clangenoten die klaar zijn om oorlog te voeren:,Klanvenner som er klare til krig:,Membros do clã prontos para a guerra:,Savaşa hazır olan klan arkadaşları:,戦闘態勢に入ったクランの仲間：,已就绪本方成员：,전쟁 준비를 완료한 클랜 동료:,Готовые к войне соклановцы:
TID_ALLIANCE_WAR_PREPARE_FOR_WAR,Prepare for War!,Préparez-vous pour la guerre !,Mach dich für den Krieg bereit!,¡Prepárate para la guerra!,Preparati per la guerra!,Bereid je voor op een oorlog!,Vær klar til krig!,Prepare-se para a guerra!,Savaşa hazır ol!,クラン対戦の準備をしましょう！,准备作战！,전쟁을 준비하세요!,Готовьтесь к Войне!
TID_ALLIANCE_WAR_RESOURCE_STORAGE_CAPACITY,<resource>: <number>,<resource> : <number>,<resource>: <number>,<resource>: <number>,<resource>: <number>,<resource>: <number>,<resource>: <number>,<resource>: <number>,<resource>: <number>,<resource>：<number>,<resource>：<number>,<resource>: <number>,<resource>: <number>
TID_ALLIANCE_WAR_RETURN_TO_CURRENT_WAR,Current War,Guerre actuelle,Aktueller Krieg,Guerra actual,Guerra in corso,Huidige oorlog,Gjeldende krig,Guerra atual,Şu Anki Savaş,現在のクラン対戦,当前战争,진행 중인 전쟁,Текущая Война
TID_ALLIANCE_WAR_SAVE_VILLAGE,Save Village,Sauvegarder le village,Dorf speichern,Salvar aldea,Salva villaggio,Dorp opslaan,Lagre landsby,Salvar a vila,Köyü Kaydet,村を保存,保存村庄,마을 저장,Сохранить Деревню
TID_ALLIANCE_WAR_SCOUT,Scout,Explorer,Spähen,Explorar,Ricognizione,Verkennen,Speider,Explorar,Gözcülük yap,偵察,侦察,정찰,Шпионить
TID_ALLIANCE_WAR_SNAPSHOT_FAILED,"Couldn't save village, please try again later!","Sauvegarde du village impossible, réessayez plus tard.",Dorf konnte nicht gespeichert werden. Bitte versuche es später erneut.,No se ha podido salvar la aldea. Inténtalo más tarde.,Impossibile salvare il villaggio. Riprova più tardi.,Het dorp kon niet worden opgeslagen. Probeer het later opnieuw.,"Kunne ikke lagre landsbyen, prøv igjen senere.","Não foi possível salvar a vila, tente novamente mais tarde!","Köy kaydedilemedi, lütfen daha sonra tekrar dene!",村を保存できませんでした。あとでまたお試しください。,无法保存村庄，请稍后重试！,마을을 저장하지 못했습니다. 나중에 다시 시도해주세요!,"Не получилось сохранить, пожалуйста, попробуйте позже!"
TID_ALLIANCE_WAR_SPECTATOR_MESSAGE,You didn't qualify for this war,Vous ne remplissiez pas les conditions pour cette guerre.,Du bist für diesen Krieg nicht zugelassen,No reúnes los requisitos para luchar en esta guerra.,Non possiedi i requisiti per partecipare a questa guerra,Je komt niet in aanmerking voor deze oorlog,Du er ikke kvalifisert for denne krigen,Você não está qualificado para esta guerra,Bu savaşa katılma hakkı kazanamadın,このクラン対戦への参加資格がありません,您无法参与此次部落对战,이 전쟁에 참가할 자격이 없습니다.,Вы не готовы к этой войне
TID_ALLIANCE_WAR_SPECTATOR_MODE,War Spectator,Spectateur de guerre,Kriegszuschauer,Espectador de guerra,Spettatore di guerra,Oorlogstoeschouwer,Krigstilskuer,Espectador da guerra,Savaş İzleyicisi,観戦モード,观战模式,전쟁 관전,Военный наблюдатель
TID_ALLIANCE_WAR_STARS_WON,Stars,Étoiles,Sterne,Estrellas,Stelle,Sterren,Stjerner,Estrelas,Yıldız,星,胜利之星,별,Звезды
TID_ALLIANCE_WAR_STARTWAR_INFO_CLANMEMBER,Battle clan versus clan for glory and bonus loot!\n\n\nReady to begin? Ask a clan leader to start a war.,Battez-vous clan contre clan pour la gloire et des butins bonus !\n\n\nTout est prêt ? Demandez à un chef du clan de déclarer la guerre.,"Kämpfe für Ruhm und Bonusbeute - Clan gegen Clan!\n\n\nBist du bereit? Bitte einen Clanführer, einen Krieg zu beginnen.",Lucha clan contra clan para conseguir la gloria ¡y un botín de bonus!\n\n\n¿Tienes todo listo para luchar? Pide a uno de los líderes de tu clan que inicie una guerra.,Affronta battaglie clan contro clan per conquistare la gloria e il bottino bonus!\n\n\nSiamo pronti? Chiedi a un capoclan di scatenare una guerra.,Vecht clan tegen clan om de eer en bonusbuit!\n\n\nKlaar om te starten? Vraag een clanleider om een oorlog te beginnen.,Kjemp klan mot klan for ære og ekstra bytte!\n\n\nKlar til å sette i gang? Be en klanleder om å starte en krig.,"Participe da batalha de clã contra clã, pela honra e pelo saque de bônus!\n\n\nPronto para começar? Peça a um líder de clã para começar uma guerra.",Şöhret ve bonus kazanmak için klana karşı klan savaşlarına katıl!\n\n\nBaşlamaya hazır mısın? Bir klan liderinden bir savaş başlatmasını iste.,栄光とボーナス戦利品をかけたクラン同士の戦い！\n\n\n準備ができたら、開戦するようリーダーに進言しましょう。,参与部落对战，为荣誉和战利品而战！\n\n\n准备好了吗？向部落首领请求开战吧。,클랜전에서 영광과 전리품을 획득하세요!\n\n\n출격 준비가 되었습니까? 클랜 대표에게 전쟁 시작을 요청하세요.,Сражайтесь клан против клана за славу и добычу!\n\n\nГотовы начать? Предложите главе клана начать войну.
