TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_DPS,Damage per second: <number>,Dégâts par seconde : <number>,Schaden pro Sekunde: <number>,Daño por segundo: <number>,Danno al secondo: <number>,Schade per seconde: <number>,Skade per sekund: <number>,Dano por segundo: <number>,Saniye başına hasar: <number>,ダメージ／秒：<number>
TID_DRAGON,Dragon,Dragon,Drache,Dragón,Drago,Draak,Drage,Dragão,Ejderha,ドラゴン
TID_ELIXIR,Elixir,Élixir,Elixier,Elixir,Elisir,Elixer,Eliksir,Elixir,İksir,エリクサー
TID_ELIXIR_PUMP_INFO,Elixir is pumped from Ley Lines coursing underneath your village. Upgrade your Elixir Collectors to maximize elixir production.,L'élixir est pompé depuis les lignes telluriques coulant dans le sous-sol de votre village. Améliorez vos réservoirs pour optimiser la production d'élixir.,"Elixier wird aus Kraftlinien gepumpt, die unter deinem Dorf verlaufen. Verbessere deine Elixiersammler, um die Elixierproduktion zu erhöhen.",El elixir se extrae de las Líneas Ley que pasan por debajo de la aldea. Mejora los recolectores de elixir para maximizar la producción.,L´elisir è estratto dalle Ley Line che scorrono sotto il tuo villaggio. Migliora i tuoi Estrattori di elisir per massimizzare la produzione.,Elixir wordt via de leylijnen onder het dorp opgepompt. Upgrade je elixirpompen om de productie te maximaliseren.,Eliksir pumpes opp fra leylinjer som går under landsbyen. Oppgrader eliksirsamlerne for å maksimere eliksirproduksjonen.,Elixir é bombeado dos lençóis de elixir que correm embaixo de sua aldeia. Atualize seus coletores de Elixir para maximizar a produção.,İksir köyünün altından geçen Ley Hatlarından pompayla çekilir. İksir üretimini artırmak için İksir Toplayıcılarını yükselt.,村の地下を走るレイラインからエリクサーを汲み上げています。エリクサーコレクターをアップグレードして、エリクサーの生成を最大にしましょう。
TID_ELIXIR_SHOP_PACK,<number> Elixir,<number> élixirs,<number> Elixier,<number> elixir,<number> elisir,<number> elixir,<number> eliksir,Elixir <number>,<number> İksir,<number>エリクサー
TID_ELIXIR_STORAGE_INFO,These storages contain the elixir pumped from underground. Upgrade them to increase the maximum amount of elixir you can store.,Ces réservoirs contiennent l'élixir qui a été pompé du sous-sol. Améliorez-les pour augmenter la capacité de stockage maximum.,"Diese Lager enthalten das aus dem Untergrund gepumpte Elixier. Verbessere sie, damit du mehr Elixier lagern kannst.",En estos almacenes se guarda el elixir que se saca de la tierra. Mejóralos para aumentar la cantidad máxima de elixir que puedes almacenar.,Questi depositi contengono l´elisir pompato dal sottosuolo. Migliorali per aumentare la quantità massima di elisir che puoi conservare.,Deze depots bevatten de opgepompte elixir. Upgrade ze om de hoeveelheid elixir die je op kunt slaan te verhogen.,Disse lagrene inneholder eliksiren pumpet opp fra bakken. Oppgrader dem for å øke den maksimale mengden eliksir du kan lagre.,Estes depósitos contêm o elixir bombeado do subsolo. Atualize-os para aumentar a quantidade máxima de elixir que você pode armazenar.,Bu depolar yeraltından pompalanan iksiri içerir. Depolayabileceğin maksimum iksir miktarını artırmak için bunları yükselt.,地下から汲み上げたエリクサーをこの貯蔵庫に保管します。アイテムをアップグレードして、エリクサーを保管できる量を最大にしましょう。
TID_END_BATTLE_BUTTON,End Battle,Terminer la bataille,Kampf beenden,Terminar batalla,Termina battaglia,Stoppen,Avslutt slaget,Terminar,Savaşı Bitir,バトル終了
TID_END_BATTLE_POPUP_TEXT,"Chief, are you sure you want to end the fight now?","Chef, êtes-vous sûr de vouloir arrêter la bataille maintenant ?","Häuptling, bist du sicher, dass du den Kampf beenden möchtest?","Jefe, ¿seguro que quieres terminar la pelea ahora?","Capo, sei sicuro di voler porre fine alla lotta adesso?","Chief, weet je zeker dat je het gevecht nu wilt beëindigen?","Sjef, er du sikker på at du vil slåss nå?","Chefe, tem certeza que deseja terminar a luta agora?","Şef, çarpışmayı şimdi bitirmek istediğinden emin misin?",本当に戦いを止めますか？
TID_END_BATTLE_POPUP_TITLE,End Battle?,Terminer la bataille ?,Kampf beenden?,¿Quieres acabar la batalla?,Terminare battaglia?,Stoppen?,Avslutt slaget?,Terminar?,Savaşı Bitir?,バトルを終了しますか？
TID_ERROR_POP_UP_AUTO_DISCONNECTED,Click the button below to reload the game.,Cliquez sur le bouton ci-dessous pour relancer le jeu.,"Klicke auf den Button unten, um das Spiel neu zu laden.",Haz clic en el icono para volver a cargar.,Fai click sul pulsante qui sotto per ricaricare il gioco.,Klik op onderstaande knop om het spel opnieuw te laden.,Klikk på knappen under for å starte spillet på nytt.,Clique no botão abaixo para recarregar o jogo.,Oyunu tekrar yüklemek için aşağıdaki düğmeyi tıklat.,下のボタンをクリックして、ゲームを再ロードしてください。
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Reload game,Relancer le jeu,Spiel neu laden,Volver a cargar,Ricarica gioco,Spel herladen,Omstart spill,Recarregar jogo,Oyunu t. yükle,ゲームを再ロードします
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Anyone there?,Il y a quelqu'un ?,Jemand da?,¿Hay alguien?,C´è nessuno?,Is daar iemand?,Noen der?,Tem alguém aí?,Kimse var mı?,どなたですか？
TID_ERROR_POP_UP_BANNED,You have been banned temporarily,Vous avez été banni temporairement !,Du wurdest vorübergehend gebannt,¡Has sido expulsado temporalmente!,Sei stato bandito temporaneamente,Je bent tijdelijk verbannen,Du er blitt midlertidig utestengt,Você foi banido temporariamente,Geçici olarak yasaklandınız,一時的に禁止されています
TID_ERROR_POP_UP_BANNED_BUTTON,Okay,OK,Okay,Vale,OK,Oké,OK,Ok,Tamam,OK
TID_ERROR_POP_UP_BANNED_TITLE,You have been banned!,Vous avez été banni !,Du wurdest gebannt!,¡Has sido expulsado!,Sei stato bandito!,Je bent verbannen!,Du er blitt utestengt!,Você foi banido!,Yasaklandınız!,禁止されています
TID_ERROR_POP_UP_CONNECTION_FAILED,Unable to connect with the server. Check your internet connection and try again.,Connexion au serveur impossible. Veuillez vérifier votre connexion Internet et réessayer.,Verbindung mit dem Server nicht möglich. Überprüfe deine Internetverbindung und versuche es erneut.,No se ha podido conectar con el servidor. Revisa la conexión a internet y vuelve a intentarlo.,Non è stato possibile connettersi al server. Controlla la connessione a Internet e riprova.,Geen verbinding mogelijk met de server. Controleer je internetverbinding en probeer het nog eens.,Oppnår ikke kontakt med serveren. Kontroller Internettforbindelsen og prøv igjen.,Não foi possível conectar com o servidor. Verifique sua conexão de internet e tente novamente.,Sunucuya bağlanılamıyor. Internet bağlantını kontrol et ve tekrar dene.,サーバーに接続できません。インターネット接続を確認して、再試行してください。
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene,再試行してください。
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Connection error,Erreur de connexion,Verbindungsfehler,Error de conexión,Errore di connessione,Verbindingsfout,Tilkoblingsfeil,Erro de conexão,Bağlantı hatası,接続エラー
TID_ERROR_POP_UP_CONNECTION_LOST,You have lost connection with the server. Check your internet connection and try again.,Connexion au serveur perdue. Veuillez vérifier votre connexion Internet et réessayer.,Du hast die Verbindung mit dem Server verloren. Überprüfe deine Internetverbindung und versuche es erneut.,Se ha perdido la conexión con el servidor. Revisa la conexión a internet y vuelve a intentarlo.,La connessione al server è stata persa. Controlla la connessione a Internet e riprova.,De verbinding met de server is verbroken. Controleer je internetverbinding en probeer het nog eens.,Du har mistet forbindelsen med serveren. Kontroller Internettforbindelsen og prøv igjen.,Conexão perdida com o servidor. Verifique sua conexão de internet e tente novamente.,Sunucu bağlantın koptu. Internet bağlantını kontrol et ve tekrar dene.,サーバーへの接続が遮断されました。インターネット接続を確認して、再試行してください。
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene,再試行してください。
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Connection lost,Connexion perdue,Verbindung verloren,Conexión perdida,Connessione persa,Verbinding verbroken,Forbindelse brutt,Conexão perdida,Bağlantı koptu,接続が遮断されました。
TID_ERROR_POP_UP_LOGIN_FAILED,Please try again later.,Veuillez réessayer plus tard.,Bitte versuche es später erneut.,Inténtalo de nuevo más tarde.,Riprova più tardi.,Probeer het later nog eens.,Prøv igjen senere.,"Por favor, tente novamente mais tarde.",Lütfen daha sonra tekrar dene.,後ほど再試行してください。
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene,再試行してください。
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Login failed,Échec de l'identification,Anmeldung fehlgeschlagen,Fallo al conectar,Accesso non riuscito,Inloggen is mislukt,Pålogging mislyktes,Falha no login,Oturum açılamadı,ログイン失敗
TID_ERROR_POP_UP_OUT_OF_SYNC,Client and server are out of sync!,Le client et le serveur ne sont pas synchronisés !,Client und Server sind nicht synchron!,¡El cliente y el servidor no están sincronizados!,Il client e il server non sono in sincrono!,Software en server lopen niet synchroon!,Klient og server er ikke synkronisert!,Cliente e servidor estão fora de sincronia!,İstemci ve sunucu uyumlu değil!,クライアントとサーバーが同期していません！
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Reload game,Relancer le jeu,Spiel neu laden,Volver a cargar,Ricarica gioco,Spel herladen,Omstart spill,Recarregar jogo,Oyunu t. yükle,ゲームを再ロードします
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Error!,Erreur !,Fehler!,¡Error!,Errore!,Fout opgetreden!,Feil!,Erro!,Hata!,エラー！
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Sorry, the servers are under maintenance. Please try again later.","Désolé, les serveurs sont en cours de maintenance. Veuillez réessayer plus tard.","Tut uns leid, die Server werden gewartet. Bitte versuche es später erneut.","Lo sentimos, los servidores están en mantenimiento. Inténtalo de nuevo más tarde.","Siamo spiacenti, i server sono in manutenzione. Riprova più tardi.","Sorry, er wordt momenteel gewerkt aan de servers. Probeer het later nog eens.","Beklager, serverne vedlikeholdes. Prøv igjen senere.","Desculpe, os servidores estão em manutenção. Por favor, tente novamente mais tarde.","Üzgünüz, şu anda sunuculara bakım yapılıyor. Lütfen daha sonra tekrar dene.",申し訳ございませんが、現在サーバーのメンテナンスを行っています。後ほど再試行してください。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Try again,Réessayer,Erneut versuchen,Reintentar,Riprova,Probeer nogmaals,Prøv igjen,Tente novamente,Tekrar dene,再試行してください。
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Maintenance break,Maintenance,Wartung,Pausa de mantenimiento,Manutenzione in corso,Onderhoud,Vedlikeholdspause,Intervalo de manutenção,Bakım arası,メンテナンス中です。
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Good news! A new version of the game is available.,Bonne nouvelle ! Une nouvelle version du jeu est disponible.,Gute Nachrichten! Eine neue Version des Spiels ist verfügbar.,¡Buenas noticias! Hay disponible una nueva versión del juego.,Buone notizie! È disponibile una nuova versione del gioco.,Goed nieuws! Er is een nieuwe versie van het spel beschikbaar.,Gode nyheter! En ny versjon av spillet er tilgjengelig.,Boas notícias! Uma nova versão do jogo está disponível.,İyi haber! Oyunun yeni bir sürümü var.,朗報です！新しいバージョンのゲームを利用できます！
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Update,Mettre à jour,Update,Actualizar,Aggiornamento,Bijwerken,Oppdater,Atualizar,Güncelle,アップデート
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Update is available!,Une mise à jour est disponible !,Update verfügbar!,¡Actualización disponible!,È disponibile un aggiornamento!,Er is een update beschikbaar!,Oppdatering er tilgjengelig!,Atualização disponível!,Güncelleme var!,アップデート可能！
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,This Facebook account is already linked to another Clash of Clans game. Link it to your current game instead?,Ce compte Facebook est déjà associé à une autre partie de Clash of Clans. L'associer à la partie en cours à la place ?,"Dieses Facebook-Konto ist bereits mit einem anderen ,,Clash of Clans\q-Spiel verknüpft. Stattdessen mit deinem aktuellen Spiel verknüpfen?",Esta cuenta de Facebook ya está vinculada a otra partida de Clash of Clans. ¿Quieres vincularla a la partida actual?,Questo account Facebook è già collegato a un'altra partita di Clash of Clans. Vuoi collegarlo alla partita attuale?,Dit Facebook-account is al gekoppeld aan een ander Clash of Clans-spel. Wil je het aan je huidige spel koppelen?,Denne Facebook-kontoen er allerede koblet til et annet Clash of Clans-spill. Koble til det gjeldende spillet istedenfor?,Esta conta do Facebook já está ligada à outro jogo Clash of Clans. Deseja vinculá-lo ao seu jogo atual?,Bu Facebook başka bir Clash of Clans oyununa zaten bağlı. Bunun yerine mevcut oyununa bağlansın mu?,このFacebookアカウントは、すでに別のClash of Clansにリンクされています。現在のゲームにリンクし直しますか？
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Facebook Alert,Alerte Facebook,Facebook-Alarm,Aviso de Facebook,Allerta Facebook,Facebook-melding,Facebook-varsling,Alerta do Facebook,Facebook Uyarısı,Facebookの警告
TID_FAQ_BUTTON,Help and support,Aide et assistance,Hilfe und Kundendienst,Ayuda y soporte técnico,Guida e supporto,Hulp en ondersteuning,Hjelp og støtte,Ajuda e suporte,Yardım ve destek,ヘルプとサポート
TID_FAQ_TEXT_BUYING,"Make sure that your device is set to allow in-app purchases. Go to Settings - General - Restrictions and check that In-App Purchases is set to ON. Then quit and restart the game: push the Home *(square) button on your device twice; tap and hold the Clash of Clans icon until it starts wobbling; tap on the upper-right red icon, push Home again, relaunch Clash of Clans and you should be able to buy gems.","Assurez-vous que votre appareil soit réglé pour permettre les achats intégrés. Allez dans Paramètres - Général - Restrictions pour vérifier que cette option est bien activée. Ensuite, quittez puis relancez le jeu : appuyez deux fois sur la touche Home *(carré) de votre appareil ; maintenez appuyée l´icône Clash of Clans jusqu´à ce qu´elle commence à osciller ; touchez l´icône rouge dans le coin supérieur droit, appuyez de nouveau sur Home et relancez Clash of Clans. Vous devriez maintenant pouvoir acheter des gemmes.","Vergewissere dich, dass dein Gerät für In-App-Käufe eingestellt ist. Gehe zu den Einstellungen - Allgemein - Einschränkungen und überprüfe, dass In-App-Käufe auf EIN gestellt sind. Beende dann und starte das Spiel neu: Drücke zwei Mal auf die Home-Taste *(Viereck) deines Geräts. Tippe das Symbol von Clash of Clans an und halte es gedrückt, bis es zu wackeln beginnt. Tippe auf das rote Symbol oben rechts und drücke erneut auf Home. Starte Clash of Clans neu und du solltest Juwelen kaufen können.","Asegúrate de que tu dispositivo está configurado para permitir compras desde la aplicación. Dirígete a Ajustes - General - Restricciones y comprueba que la opción Compras integradas en la aplicación está activada. Después, sal y reinicia el juego: pulsa dos veces el botón Inicio *(cuadrado) de tu dispositivo; toca sin levantar el dedo el icono de Clash of Clans hasta que empiece a temblar; toca el icono rojo de la parte superior derecha, vuelve a pulsar Inicio, reinicia Clash of Clans y ya deberías poder comprar gemas.","Assicurati che il tuo apparecchio sia impostato per permettere gli acquisti In-App. Vai su Impostazioni > Generale > Restrizioni e controlla che gli acquisti In-App siano attivitati. Quindi esci e ricomincia il gioco: premi due volte il tasto Home *(quadrato) del tuo apparecchio; tocca e tieni premuta l'icona di Clash of the Clans finché non inizia a vibrare; tocca l'icona rossa in alto a destra; premi nuovamente Home, riavvia Clash of the Clans. Ora dovresti essere in grado di acquistare gemme.","Zorg dat je apparaat is ingesteld voor in-app aankopen. Ga naar Instellingen - Algemeen - Beperkingen en zorg dat in-app aankopen op AAN staat. Sluit dan het spel af en start het spel opnieuw op: druk twee keer op de Home *(vierkant) toets van je apparaat; tik en houd vast op het Clash of Clans-icoontje tot het begint te wiebelen; tik op het rode icoontje rechts bovenin, druk nogmaals op Home, lanceer Clash of Clans en je zou de edelstenen moeten kunnen kopen.","Sørg for at enheten din er stilt inn for å tillate kjøp i app. Gå til innstillinger - generelt - begrensninger, og sjekk at kjøp i app (In-App Purchases) er slått PÅ. Deretter avbryt og start spillet på nytt: Trykk på Hjem *(firkant)-knappen på enheten to ganger, trykk og hold Clash of Clans-ikonet til det begynner å vibrere, trykk på ikonet øverst til høyre, trykk på Hjem-knappen igjen, start Clash of Clans på nytt - så skal du kunne kjøpe smykker.","Verifique se o dispositivo está configurado para permitir compras em aplicativos. Vá para Configurações - Geral - Restrições e verifique se a opção Compras em aplicativos está definida como ON. Em seguida, saia e reinicie o jogo: pressione o botão Início* (quadrado) em seu aparelho duas vezes, toque e segure o ícone de Clash of Clans até que ele comece a vibrar, toque no ícone superior direito vermelho, pressione Início novamente, reinicie Clash of Clans e você poderá comprar gemas.","Cihazının uygulama içi satın alımlara izin verdiğinden emin ol. Ayarlar - Genel - Kısıtlamalar'a git ve Uygulama İçi Satın Alımların Açık konumda olup olmadığını kontrol et. Bunun ardından buradan çık ve oyunu yeniden başlat: cihazının Ana Sayfa *(kare) düğmesine iki kere bas; Clash of Clans simgesi titremeye başlayana kadar basılı tut; sağ üst köşedeki kırmızı simgeye bas, yeniden Ana Sayfa'ya bas ve Clash of Clans'ı yeniden başlat. Artık taş alabileceksin.",お使いのデバイスのアプリ内課金の設定を確認してください。設定－一般－制限に進み、アプリ内課金の設定がONになっているか確認してからゲームを再開してください。デバイスのホームボタンを二回押して、Clash of Clansのアイコンがブルブル揺れるまでアイコンをタップして押し続けてください。そして右上の赤いアイコンをタップしてホームボタンをもう一度押してからClash of Clansを立ち上げればジェムを購入できるようになるはずです。
