TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_SHUTDOWN_STARTED,Game is closing for a short maintenance break in 5 minutes. Attacking is disabled during the break.,Le jeu fermera dans 5 minutes pour cause de maintenance. La fonction d'attaque est désactivée pendant la maintenance.,Das Spiel schließt sich in 5 Minuten für eine kurze Wartungspause. Während der Pause kann nicht angegriffen werden.,"Dentro de 5 minutos, el juego se detendrá por motivos de mantenimiento. No se podrá atacar durante la pausa.",Il gioco si chiuderà per manutenzione tra 5 minuti. Durante la manutenzione non sarà possibile attaccare.,Het spel zal wegens onderhoud over 5 minuten uit worden geschakeld. Aanvallen is niet mogelijk tijdens het onderhoud.,Spillet lukkes for en kort vedlikeholdspause på 5 minutter. Angrep er deaktivert i pausen.,Jogo está encerrando para uma curta pausa de manutenção em 5 minutos. O Ataque fica desativado durante o intervalo.,Oyun kısa bir bakım için 5 dakika kapanacak. Bu arada saldırı yapılamaz.
TID_SINGLEPLAYER,Single Player,Solo,Einzelspieler,Un jugador,Giocatore singolo,Een speler,Enkeltspiller,Um Jogador,Tek Oyuncu
TID_SPELLS_INSIDE,Spells ready: <number> / <number2>,Sorts prêts : <number> / <number2>,Anwendbare Zaubersprüche: <number> / <number2>,Hechizos preparados: <number> / <number2>,Incantesimi pronti: <number> / <number2>,Spreuken klaar: <number> / <number2>,Formler klare: <number> / <number2>,Feitiços prontos: <number> / <number2>,Büyü hazır: <number> / <number2>
TID_SPELL_DAMAGE,Total damage: <number>,Dégâts totaux : <number>,Gesamtschaden: <number>,Daño total: <number>,Danno totale: <number>,Totale schade: <number>,Total skade: <number>,Dano total: <number>,Toplam hasar: <number>
TID_SPELL_FORGE_INFO,The Spell Factory is home to veteran Wizards who are better suited to creating magical weapons than front-line combat. Use their powerful Attack Spells to turn the tide of battle in your favor!,L'usine de sorts accueille des sorciers plus expérimentés dans la création d'armes magiques que le combat en 1ère ligne. Utilisez leurs sorts d'attaque pour renverser la bataille en votre faveur !,"Die Zauberspruchfabrik ist das Zuhause von alten Zauberern, die besser dafür geeignet sind magische Waffen herzustellen, als in der Schlacht ganz vorne zu stehen. Nutze ihre starken Zaubersprüche, um die Schlacht zu deinen Gunsten zu entscheiden!",La Fábrica de hechizos es el hogar de magos veteranos que están mejor capacitados para crear armas mágicas que para el combate en el frente. ¡Usa sus potentes Hechizos de ataque para inclinar la balanza del ataque a tu favor!,La Fabbrica di Incantesimi è la patria dei Maghi veterani che sono più adatti alla creazione di armi magiche piuttosto che al combattimento in trincea. Utilizza i loro potenti incantesimi d'attacco per cambiare le sorti della battaglia a tuo favore!,De Spreukenfabriek is het thuis van ervaren Tovenaars die beter zijn in het bouwen van magische wapens dan vechten. Gebruik hun krachtige aanvalsspreuken om het strijdverloop in jouw voordeel te doen omslaan!,Trolldomsfabrikken er hjem til veterantrollmenn som passer bedre til å skape magiske våpen enn å stå på første rekke i kamp. Bruk deres kraftige trolldom for å snu kampen til din fordel!,A Fábrica de Magias é lar de Magos veteranos mais adequados para criar armas mágicas que para combater na linha de frente. Use suas poderosas Magias de Ataque para virar a batalha em seu favor!,Büyü Fabrikası cephede savaşmaktan çok sihirli silahlar üretme konusunda yetenekli olan tecrübeli Büyücülerin evidir. Savaşın gidişatını lehine döndürmek için Güçlü Saldırı Büyülerini kullan!
TID_SPELL_SPEED_UP_SUCCESS,Spell creation finished!,Création du sort terminée !,Zaubersprucherzeugung abgeschlossen!,¡Creación de hechizo finalizada!,Creazione incantesimo completata!,Creatie van spreuk is klaar!,Trylleformel ferdig!,Feitiço concluído!,Büyü üretimi tamamlandı!
TID_SPELL_STORAGE_CAPACITY,Spell capacity: <number>,Capacité de sorts : <number>,Zauberspruchkapazität: <number>,Capacidad del hechizo: <number>,Capacità incantesimo: <number>,Spreukcapaciteit: <number>,Formelkapasitet: <number>,Capacidade do feitiço: <number>,Büyü kapasitesi: <number>
TID_STAR1,Awesome!,Génial !,Großartig!,¡Asombroso!,Eccellente!,Gaaf!,Sinnsykt!,Magnífico!,Müthiş!
TID_STAR2,Excellent!,Excellent !,Fantastisch!,¡Excelente!,Ottimo!,Uitmuntend!,Utmerket!,Excelente!,Muhteşem!
TID_STAR3,Perfect!,Parfait !,Perfekt!,¡Perfecto!,Perfetto!,Perfect!,Perfekt!,Perfeito!,Mükemmel!
TID_STARS_TOTAL,Stars Total:,Total d'étoiles :,Insgesamt:,Total de estrellas:,Totale stelle:,Sterren in totaal:,Stjerner i alt:,Total de Estrelas:,Toplam Yıldız:
TID_STREAM_DONATE_BUTTON,Donate,Faire un don,Überlassen,Donar,Dona,Doneren,Doner,Doar,Bağış Yap
TID_STREAM_DONATE_TEXT,needs reinforcement troops,a besoin de troupes de renfort,braucht Verstärkungstruppen,necesita refuerzos,ha bisogno di rinforzi,heeft versterking nodig,trenger forsterkninger,precisa de tropas de reforço,takviye askere ihtiyaç duyuyor
TID_STREAM_ENTRY_AGE,<time> ago,Il y a <time>,vor <time>,Hace <time>,<time> fa,<time> geleden,<time> siden,<time> atrás,<time> önce
TID_STREAM_EVENT_ACCEPTED,was accepted to the clan by <name>,a été accepté comme membre du clan par <name>,wurde durch <name> in den Clan aufgenommen,ha sido aceptado en el clan por <name>,è stato accettato nel clan da <name>,werd bij de clan verwelkomt door <name>,ble tatt inn i klanen av <name>,foi aceito no clã por <name>,<name> tarafından klana kabul edildi
TID_STREAM_EVENT_DEMOTED,was demoted by <name>,a été dégradé par <name>,wurde von <name> degradiert,ha sido degradado por <name>,è stato degradato da <name>,werd gedegradeerd door <name>,ble degradert av <name>,foi rebaixado por <name>,<name> tarafından tenzil edildi
TID_STREAM_EVENT_JOINED,joined the clan,a rejoint le clan,ist dem Clan beigetreten,se unió al clan,è entrato nel clan,heeft zich bij de clan aangesloten,ble med i klanen,juntou-se ao clã,klana katıldı
TID_STREAM_EVENT_KICKED,has been kicked out of the clan by <name>,a été exclus du clan par <name>,wurde durch <name> aus dem Clan ausgestoßen,ha sido aceptado en el clan por <name>,è stato espulso dal clan da <name>,is uit de clan gezet door <name>,har blitt sparket ut av klanen av <name>,foi expulso do clã por <name>,<name> tarafından klandan atıldı
TID_STREAM_EVENT_LEFT,has left the clan,a quitté le clan,hat den Clan verlassen,ha abandonado el clan,ha abbandonato il clan,heeft de clan verlaten,har forlatt klanen,deixou o clã,klandan ayrıldı
TID_STREAM_EVENT_PROMOTED,was promoted by <name>,a été promu par <name>,wurde von <name> befördert,ha recibido un ascenso de <name>,è stato promosso da <name>,werd gepromoveerd door <name>,ble forfremmet av <name>,foi promovido por <name>,<name> tarafından terfi ettirilidi
TID_STREAM_SENDER_YOU,You,Vous,Du,Tú,Tu,Jij,Du,Você,Sen
TID_SURRENDER_BUTTON,Surrender,Se rendre,Aufgeben,Rendirse,Resa,Overgave,Overgivelse,Render-se,Teslim Ol
TID_SURRENDER_POPUP_TEXT,"Chief, are you sure you want to give the order to retreat? Our army will be defeated!","Chef, êtes-vous certain de vouloir battre en retraite ? Notre armée sera battue !","Häuptling, bist du sicher, dass zu den Rückzug befehlen wisst? Unsere Armee wird besiegt werden!","Jefe, ¿seguro que quieres dar la orden de retirada? ¡Nuestro ejército será derrotado!","Capo, sei sicuro di voler dare l'ordine di ritirata? Il nostro esercito sarà sconfitto!","Chief, weet je zeker dat je wilt terugtrekken? Ons leger wordt dan verslagen!","Sjef, er du sikker på at du vil trekke tilbake? Hæren vår vil tape!","Chefe, tem certeza que quer dar a ordem de retirada? Nosso exército será derrotado!","Şef, geri çekilme emri vermek istediğinden emin misin? Ordumuz mağlup olacak!"
TID_SURRENDER_POPUP_TITLE,Surrender?,Capituler ?,Aufgeben?,¿Te rindes?,Arrendersi?,Overgave?,Overgivelse?,Render-se?,Teslim Ol?
TID_TAB_ALLIANCE_CHAT,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan
TID_TAB_GLOBAL_CHAT,Global,Général,Global,General,Globale,Algemeen,Global,Global,Global
TID_TAP_TO_EXPAND,Tap to expand,Touchez pour étendre,Zum Erweitern antippen,Toca para ampliar.,Tocca per espandere,Tik om uit te breiden,Trykk for å utvide,Toque para expandir,Genişletmek için dokun
TID_TAP_TO_VIEW,Tap to view details,Touchez pour voir les détails,"Antippen, um Details zu sehen",Toca para ver detalles,Tocca per visualizzarne i dettagli.,Klik voor meer details,Trykk for å se detaljer,Toque para ver detalhes,Ayrıntıları görmek için dokun
TID_TARGET_ALREADY_IN_ALLIANCE,Player is already in a Clan.,Le joueur est déjà dans un clan.,Der Spieler ist bereits Mitglied eines Clans.,El jugador ya está en un Clan.,Il Giocatore è già in un Clan.,Speler hoort al bij een clan,Spilleren er allerede i klanen.,Jogador já está em um Clã.,Oyuncu zaten bir Klan'da.
TID_TESLA_TOWER_INFO,"Lay a deadly trap with the Hidden Tesla! Our Wizards have trapped a storm cloud into each of these sneaky towers. When an enemy walks or flies close enough, the tower springs up and fries it using the power of Electrickery!","Tendez un piège mortel grâce au Tesla camouflé ! Nos magiciens ont emprisonné un nuage orageux dans chacune de ces tours. Lorsqu'un ennemi marche ou vole trop près d'elle, la tour se soulève et le grille grâce à son pouvoir d'Électricherie !","Lege mit dem Verborgenen Tesla eine tödliche Falle! Unsere Zauberer haben in jedem dieser Türme eine Sturmwolke gefangen. Wenn ein Gegner nahe genug kommt, kommt der Turm zum Vorschein und elektrisiert den Gegner!","¡Coloca una trampa mortífera con el tesla oculto! Nuestros magos han atrapado una nube de tormenta en cada una de estas escurridizas torres. Cuando un enemigo se acerca lo suficiente por tierra o aire, ¡la torre se alza y lo fríe con el poder de la electruquidad!","Tendi una trappola mortale con la Tesla occulta! I nostri Maghi hanno catturato una tempesta in ognuna di queste insidiose torri. Quando un nemico è abbastanza vicino, la torre scatta e lo frigge grazie al potere dell´Elettrotranello!","Plaats een dodelijke val met de verborgen tesla! Onze tovenaars hebben een stormwolk verborgen in een van deze gehaaide torens. Als een vijand te dicht in de buurt van de toren komt, schiet de toren omhoog en elektrocuteert de vijand!","Legg en dødelig felle med den skjulte teslaen! Trollmennene våre har fanget en stormsky inn i hvert av disse slue tårnene. Når en fiende går eller flyr nærme nok, spretter tårnet opp og griller den med kraften i Electrickery!","Prepare uma armadilha mortal com o Tesla Oculto! Os nossos Magos prenderam uma nuvem de tempestade em cada uma dessas torres furtivas. Quando um inimigo caminha ou voa próximo o bastante, a torre salta e o frita com o poder da Eletrapaça!","Gizli Tesla ile ölümcül bir tuzak kurun! Sihirbazlarımız bu sinsi kulelerden her birinin içine bir fırtına bulutu hapsetti. Bir düşman yeterince yakınında yürüdüğünde veya uçtuğunda, kule birdenbire ortaya çıkar ve Elektrik Sihri gücünü kullanarak düşmanı kızartır!"
TID_TIME_DAYS,d,j,T,d,g,d,d,d,g
TID_TIME_HOURS,h,h,h,h,h,uur,t,h,s
TID_TIME_MINS,m,min,m,m,m,m,m,m,d
TID_TIME_SECS,s,s,s,s,s,s,s,s,n
TID_TIP_SPELL_FORGE,Create powerful spells that can be used when attacking enemy villages,Créez des sorts puissants utilisables pour attaquer les villages ennemis,"Erstelle starke Zaubersprüche, die beim Angriff auf feindliche Dörfer benutzt werden können.",Crea potentes hechizos que se pueden usar al atacar aldeas enemigas.,Crea potenti incantesimi che possono essere utilizzati quando attacchi i villaggi nemici,Maak krachtige spreuken om te gebruiken wanneer je een vijandelijk dorp aanvalt.,Skap mektig trolldom som kan brukes under angrep av fiendenes bygder,Crie magias poderosas que podem ser usadas ao atacar aldeias inimigas,Düşman köylerine saldırırken kullanmak için güçlü büyüler oluştur
TID_TOO_MANY_REPORTS_SENT,Your daily reporting limit has exceeded!,Vous avez atteint la limite quotidienne de signalement !,Dein tägliches Melde-Limit wurde erreicht!,¡Has excedido tu límite de denuncias diarias!,"Hai superato il limite massimo di segnalazioni, per oggi!",Je hebt de dagelijkse rapporteerlimiet bereikt!,Din daglige rapporteringsgrense er overskredet!,O seu limite de relatórios diários foi excedido!,Günlük bildirim limitiniz doldu!
TID_TOO_SHORT_ALLIANCE_NAME,Clan name is too short!,Le nom du clan est trop petit !,Clanname ist zu kurz!,¡Nombre muy corto para el clan!,Il nome del clan è troppo corto!,Clannaam is te kort!,Klannavnet er for kort!,Nome do Clã é muito curto!,Klan adı çok kısa!
TID_TOTAL_CAPACITY_AFTER_TRAIN,Troop capacity after training:,Capacité de troupe après formation :,Truppenkapazität nach Training:,Capacidad de tropas tras el entrenamiento:,Capacità delle truppe dopo l'esercitazione:,Troepencapaciteit na training:,Troppekapasitet etter trening:,Capacidade da tropa após treino:,Eğitim sonrası toplam asker kapasitesi:
TID_TOTAL_DAMAGE,Total damage:,Dégâts totaux :,Gesamtschaden:,Daño total:,Danno totale:,Totale schade:,Total skade:,Dano total:,Toplam hasar:
TID_TOTAL_HEAL,Total heal: <number>,Guérison totale : <number>,Gesamtheilung: <number>,Curación total: <number>,Totale guarigione: <number>,Totale genezing: <number>,Total helbredelse: <number>,Cura total: <number>,Toplam iyileştirme: <number>
TID_TOTAL_TRAINING_TIME,Total time:,Temps total :,Gesamtzeit:,Tiempo total:,Tempo totale:,Totale tijd:,Total tid:,Tempo total:,Toplam süre:
TID_TOWN_HALL_INFO,"This is the heart of your village. Upgrading your Town Hall unlocks new defenses, buildings, traps and much more.\nDestroying an opponent's Town Hall wins you the battle and you get one Star. Destroying 50% of enemy buildings gains you a second Star, while 100% annihilation awards full three Stars.\nBeware, your enemies will be trying to destroy your Town Hall too!\nFor maximum protection, keep your Town Hall in the middle of your village and protect it with walls, traps and defensive buildings. Your enemies are sneaky and can attack from any side!","Ceci est le cœur de votre village. Améliorer votre Hôtel de ville débloque de nouveaux bâtiments, des défenses, des pièges et bien plus encore.\nDétruisez un Hôtel de ville ennemi pour gagner la bataille et obtenir une étoile. Détruisez 50% des bâtiments ennemis pour obtenir une deuxième étoile, et 100% pour obtenir trois étoiles.\nAttention, vos ennemis essaieront aussi de s´attaquer à votre Hôtel de ville !\nPour une protection maximale, gardez votre Hôtel de ville au centre du village, et protégez-le à l´aide de remparts, de pièges et de bâtiments de défense. Vos ennemis rôdent et peuvent vous attaquer de tous les côtés !","Das hier ist das Herz deines Dorfs. Durch das Verbessern deines Rathauses schaltest du neue Verteidigungen, Fallen und vieles mehr frei. Zerstörst du das Rathaus eines Gegners, gewinnst du den Kampf und erhältst einen Stern. Zerstörst du 50 % der feindlichen Gebäude, erhältst du einen zweiten Stern, während du bei einer kompletten Zerstörung (100 %) drei Sterne erhältst.\nAber pass auf: Deine Gegner wollen auch dein Rathaus zerstören!\nFür maximalen Schutz sollte dein Rathaus in der Ortsmitte liegen und mit Mauern, Fallen und Verteidigungsgebäuden geschützt sein. Deine Gegner sind heimtückisch und können von jeder Seite aus angreifen!","Este es el corazón de la aldea. Mejora tu ayuntamiento y desbloquea nuevas defensas, edificios, trampas y mucho más. Destruyendo el ayuntamiento de un oponente ganas la batalla y consigues una estrella. Destruyendo el 50% de los edificios enemigos consigues dos estrellas, mientras que con una aniquilación del 100% consigues las tres estrellas.\n¡Cuidado, tus enemigos intentarán destruir tu ayuntamiento también! Para una mayor protección, mantén tu ayuntamiento en el medio de la aldea y protégelo con muros, trampas y edificios defensivos. ¡Tus enemigos son escurridizos y pueden salir de cualquier parte!","Questo è il cuore del tuo villaggio. Aumentando il livello del tuo Municipio sbloccherai nuove difese, edifici, trappole e molto altro.\nDistruggendo il Municipio di un avversario vincerai la battaglia e guadagnerai una Stella. Distruggendo il 50% degli edifici del nemico otterrai una seconda Stella, mentre la distruzione del 100% ti farà guadagnare tre Stelle.\nAttenzione, i tuoi nemici proveranno a distruggere il tuo Municipio!\nPer proteggerlo nel migliore dei modi, fai in modo che il Municipio si trovi al centro del villaggio e proteggilo con mura, trappole ed edifici difensivi. I tuoi nemici sono furbi e possono attaccare da qualunque lato!","Dit is het hart van je dorp. Door je stadhuis te upgraden kun je nieuwe verdedigingen, gebouwen, valstrikken en nog veel meer vrijspelen.\nAls je het stadhuis van een tegenstander vernietigt, win je het gevecht en ontvang je een ster. Als je 50% van vijandelijke gebouwen weet te vernietigen krijg je een tweede ster en als je ze allemaal wegvaagt krijg je drie sterren.\nKijk uit want je vijanden zullen ook jouw stadhuis proberen te vernietigen!\nPlaats voor een optimale bescherming je stadhuis in het midden van het dorp en bescherm het met muren, valstrikken en verdedigende gebouwen. Je vijanden zijn listig en kunnen van elke kant aanvallen!","Dette er hjertet i landsbyen din. Oppgrader rådhuset for å åpne nye forsvarsverker, bygninger, feller og mye mer.\nØdelegger du en motstanders rådhus, vinner du slaget og får én stjerne. Den andre stjernen får du ved å ødelegge 50 % av fiendens bygninger, mens en 100 % utslettelse gir deg alle tre stjernene.\nMen pass på, fiendene prøver å ødelegge rådhuset ditt også!\nSørg for maksimum beskyttelse ved å holde rådhuset i midten av landsbyen og beskytt det med vegger, feller og forsvarsbygninger. Fiendene dine er slue og kan angripe fra alle kanter!","Este é o coração da sua aldeia. Atualize o seu Centro da Cidade para abrir novas defesas, edifícios, armadilhas e muito mais. Destruir o Centro da Cidade de um oponente faz com que você ganhe a batalha e você recebe uma estrela. Ao destruir 50% dos edifícios inimigos você ganha uma segunda estrela, enquanto que uma aniquilação de 100% completa três estrelas. Cuidado, porque seus inimigos vão tentar destruir o seu Centro da Cidade também! Para proteção máxima, mantenha o seu Centro da Cidade no meio da sua aldeia e proteja-o com muros, armadilhas e edifícios defensivos. Seus inimigos são sorrateiros e podem atacar de qualquer lado!","Bu, köyünüzün kalbi. Belediye Binası'nı yükseltmek, yeni savunmaların, binaların, tuzakların ve daha fazlasının kilidini açacaktır.\nBir rakibin Belediye Binası'nı yıkmak, size savaşı kazandırır ve bir Yıldız alırsınız. Düşman binalarının %50'sini yıkmak, size ikinci bir Yıldız kazandırır, %100 yıkım ise size tam üç yıldız kazandırır.\nDikkatli olun, düşmanlarınız da sizin Belediye Binanızı yıkmaya çalışacak!\nMaksimum koruma için, Belediye Binanızı köyünüzün ortasında tutun ve onu, duvarlarla, tuzaklarla ve savunma binalarıyla koruyun. Düşmanlarınız sinsi ve size herhangi bir yönden saldırabilir!"
